store_name,city_name,state_id,lat,lng
Walmart Supercenter,Anchorage,AK,61.192,-149.88
Walmart Supercenter,Anchorage,AK,61.212,-149.743
Walmart Supercenter,Anchorage,AK,61.14,-149.865
Walmart Supercenter,Eagle River,AK,61.309,-149.535
Walmart Supercenter,Wasilla,AK,61.569,-149.365
Walmart Supercenter,Fairbanks,AK,64.857,-147.69
Walmart Supercenter,Kenai,AK,60.564,-151.226
Walmart,Ketchikan,AK,55.375,-131.721
Walmart,Kodiak,AK,57.812,-152.365
Walmart Supercenter,Adamsville,AL,33.58,-86.924
Walmart Supercenter,Gardendale,AL,33.647,-86.823
Walmart Supercenter,Hueytown,AL,33.458,-86.968
Walmart Supercenter,Sumiton,AL,33.743,-87.042
Walmart Neighborhood Market,Birmingham,AL,33.468,-86.822
Walmart Supercenter,Homewood,AL,33.447,-86.821
Walmart Supercenter,Birmingham,AL,33.529,-86.72
Walmart Supercenter,Birmingham,AL,33.59,-86.7
Walmart Neighborhood Market,Vestavia Hills,AL,33.429,-86.792
Walmart Neighborhood Market,Birmingham,AL,33.637,-86.684
Walmart Supercenter,Bessemer,AL,33.361,-87.001
Walmart Neighborhood Market,Hoover,AL,33.393,-86.799
Walmart Supercenter,Hoover,AL,33.362,-86.825
Walmart Supercenter,Birmingham,AL,33.639,-86.629
Walmart Neighborhood Market,Birmingham,AL,33.382,-86.739
Walmart Supercenter,Hoover,AL,33.422,-86.676
Walmart Supercenter,Pelham,AL,33.341,-86.791
Walmart Neighborhood Market,Helena,AL,33.28,-86.851
Walmart Supercenter,Jasper,AL,33.843,-87.254
Walmart Supercenter,Leeds,AL,33.562,-86.519
Walmart Supercenter,Chelsea,AL,33.348,-86.619
Walmart Supercenter,Alabaster,AL,33.236,-86.802
Walmart Neighborhood Market,Alabaster,AL,33.212,-86.829
Walmart Supercenter,Springville,AL,33.779,-86.432
Walmart Supercenter,Calera,AL,33.146,-86.752
Walmart Supercenter,Brent,AL,32.963,-87.169
Walmart Supercenter,Sylacauga,AL,33.174,-86.287
Walmart Supercenter,Clanton,AL,32.818,-86.607
Walmart Supercenter,Alexander City,AL,32.939,-85.977
Walmart Supercenter,Tallassee,AL,32.566,-85.931
Walmart Supercenter,Wetumpka,AL,32.507,-86.213
Walmart Neighborhood Market,Auburn,AL,32.63,-85.496
Walmart Supercenter,Talladega,AL,33.438,-86.081
Walmart Supercenter,Andalusia,AL,31.32,-86.445
Walmart Supercenter,Oxford,AL,33.599,-85.832
Walmart Supercenter,Anniston,AL,33.72,-85.82
Walmart Supercenter,Jacksonville,AL,33.788,-85.762
Walmart Supercenter,Pell City,AL,33.609,-86.277
Walmart Supercenter,Gadsden,AL,34.01,-85.988
Walmart Supercenter,Attalla,AL,33.994,-86.094
Walmart Supercenter,Arab,AL,34.342,-86.501
Walmart Supercenter,Guntersville,AL,34.301,-86.277
Walmart Supercenter,Boaz,AL,34.215,-86.154
Walmart Supercenter,Huntsville,AL,34.616,-86.571
Walmart Supercenter,Cullman,AL,34.205,-86.87
Walmart Neighborhood Market,Huntsville,AL,34.647,-86.542
Walmart Supercenter,Cullman,AL,34.15,-86.841
Walmart Supercenter,Owens Cross Roads,AL,34.658,-86.486
Walmart Supercenter,Oneonta,AL,33.972,-86.448
Walmart Supercenter,Huntsville,AL,34.703,-86.585
Walmart Supercenter,Hartselle,AL,34.453,-86.949
Walmart Neighborhood Market,Huntsville,AL,34.714,-86.626
Walmart Supercenter,Madison,AL,34.684,-86.741
Walmart Supercenter,Huntsville,AL,34.746,-86.676
Walmart Supercenter,Huntsville,AL,34.763,-86.595
Walmart Supercenter,Decatur,AL,34.557,-86.998
Walmart Neighborhood Market,Decatur,AL,34.589,-86.981
Walmart Supercenter,Madison,AL,34.751,-86.773
Walmart Supercenter,Huntsville,AL,34.82,-86.493
Walmart Supercenter,Athens,AL,34.789,-86.959
Walmart Neighborhood Market,Madison,AL,34.794,-86.749
Clinic Pharmacy,Huntsville,AL,34.83,-86.64
Walmart Supercenter,Hazel Green,AL,34.947,-86.572
Walmart Supercenter,Moulton,AL,34.493,-87.273
Walmart Supercenter,Pulaski,TN,35.202,-87.057
Walmart Supercenter,Fayetteville,TN,35.132,-86.566
Walmart Supercenter,Atmore,AL,31.038,-87.495
Walmart Supercenter,Bay Minette,AL,30.883,-87.788
Walmart Supercenter,Brewton,AL,31.148,-87.065
Walmart Supercenter,Monroeville,AL,31.481,-87.328
Walmart Neighborhood Market,Pace,FL,30.647,-87.149
Walmart Supercenter,Centre,AL,34.16,-85.714
Walmart Supercenter,Fort Payne,AL,34.439,-85.761
Walmart Neighborhood Market,Auburn,AL,32.624,-85.45
Walmart Supercenter,Auburn,AL,32.571,-85.496
Walmart Supercenter,Opelika,AL,32.636,-85.421
Walmart Supercenter,Valley,AL,32.837,-85.178
Walmart Neighborhood Market,Phenix City,AL,32.47,-85.084
Walmart Supercenter,Phenix City,AL,32.499,-85.045
Walmart Neighborhood Market,Columbus,GA,32.506,-84.978
Walmart Supercenter,Columbus,GA,32.541,-84.948
Walmart Supercenter,Columbus,GA,32.522,-84.949
Walmart Supercenter,Columbus,GA,32.424,-84.945
Walmart Neighborhood Market,Columbus,GA,32.553,-84.896
Walmart Neighborhood Market,Columbus,GA,32.468,-84.91
Walmart Supercenter,Daphne,AL,30.625,-87.905
Walmart Supercenter,Saraland,AL,30.802,-88.098
Walmart Supercenter,Robertsdale,AL,30.532,-87.711
Walmart Neighborhood Market,Mobile,AL,30.67,-88.105
Walmart Supercenter,Mobile,AL,30.684,-88.125
Walmart Supercenter,Fairhope,AL,30.522,-87.849
Walmart Neighborhood Market,Mobile,AL,30.717,-88.165
Walmart Neighborhood Market,Mobile,AL,30.65,-88.162
Walmart Supercenter,Semmes,AL,30.762,-88.229
Walmart Neighborhood Market,Mobile,AL,30.678,-88.195
Walmart Neighborhood Market,Mobile,AL,30.642,-88.19
Walmart Supercenter,Mobile,AL,30.676,-88.225
Walmart Supercenter,Mobile,AL,30.596,-88.163
Walmart Supercenter,Mobile,AL,30.639,-88.246
Walmart Neighborhood Market,Theodore,AL,30.564,-88.213
Walmart Supercenter,Foley,AL,30.383,-87.686
Walmart Neighborhood Market,Tuscaloosa,AL,33.17,-87.483
Walmart Supercenter,Scottsboro,AL,34.669,-86.009
Walmart Supercenter,Tuscaloosa,AL,33.166,-87.518
